symbol,company,anex,acqName,date,pid,tkdAcqm,buyValue,sellValue,buyQuantity,sellquantity,secType,secAcq,did,tdpTransactionType,tdpDerivativeContractType,xbrl,personCategory,befAcqSharesNo,befAcqSharesPer,secVal,securitiesTypePost,afterAcqSharesNo,afterAcqSharesPer,acqfromDt,acqtoDt,intimDt,acqMode,derivativeType,exchange,remarks
NAVKARCORP,Navkar Corporation Limited,7(2),Shailaja  Mehta Family Trust,14-Oct-2024 23:03,1172516,,0,0,0,0,Equity Shares,28899000,522968,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172516_1269215_14102024110306_WEB.xml,Promoter Group,28899000,19.2,2763033390,Equity Shares,Nil,-,11-Oct-2024,11-Oct-2024,14-Oct-2024,Off Market,-,NA,-
NAVKARCORP,Navkar Corporation Limited,7(2),Shantilal J Mehta,14-Oct-2024 23:03,1172516,,0,0,0,0,Equity Shares,45949253,522961,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172516_1269215_14102024110306_WEB.xml,Promoters,45949253,30.53,4393208079,Equity Shares,Nil,-,11-Oct-2024,11-Oct-2024,14-Oct-2024,Off Market,-,NA,-
SADBHAV,Sadbhav Engineering Limited,7(2),SHASHIN V PATEL,11-Oct-2024 17:56,1172500,,0,0,0,0,Equity Shares,4989742,522938,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172500_1266726_11102024055646_WEB.xml,Promoter Group,2388866,1.39,182424967,Equity Shares,7378608,4.3,10-Oct-2024,10-Oct-2024,11-Oct-2024,Others,-,NA,-
MKPL,M K Proteins Limited,7(2),PARMOD KUMAR HUF,08-Oct-2024 12:19,1172454,,0,0,0,0,Equity Shares,20880000,522880,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172454_1261209_08102024121926_WEB.xml,Promoters,20880000,5.56,0,Equity Shares,Nil,0,04-Oct-2024,04-Oct-2024,07-Oct-2024,Off Market,-,NA,-
MKPL,M K Proteins Limited,7(2),PARMOD KUMAR,08-Oct-2024 12:19,1172454,,0,0,0,0,Equity Shares,7500000,522879,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172454_1261209_08102024121926_WEB.xml,Key Managerial Personnel,Nil,0,0,Equity Shares,7500000,2,04-Oct-2024,04-Oct-2024,07-Oct-2024,Off Market,-,NA,-
MKPL,M K Proteins Limited,7(2),MANIK GARG,08-Oct-2024 12:19,1172454,,0,0,0,0,Equity Shares,9570000,522878,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172454_1261209_08102024121926_WEB.xml,Promoter Group,5040000,1.34,0,Equity Shares,14610000,3.89,04-Oct-2024,04-Oct-2024,07-Oct-2024,Off Market,-,NA,-
MKPL,M K Proteins Limited,7(2),PARMOD KUMAR HUF,08-Oct-2024 12:19,1172454,,0,0,0,0,Equity Shares,20880000,522876,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172454_1261209_08102024121926_WEB.xml,Promoters,20880000,5.56,0,Equity Shares,Nil,0,04-Oct-2024,04-Oct-2024,07-Oct-2024,Off Market,-,NA,-
MKPL,M K Proteins Limited,7(2),NEELESH GARG,08-Oct-2024 12:19,1172454,,0,0,0,0,Equity Shares,3810000,522877,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172454_1261209_08102024121926_WEB.xml,Promoter Group,10800000,2.88,0,Equity Shares,14610000,3.89,04-Oct-2024,04-Oct-2024,07-Oct-2024,Off Market,-,NA,-
TRITURBINE,Triveni Turbine Limited,7(2),DHRUV MANMOHAN SAWHNEY,03-Oct-2024 18:52,1172340,,0,0,0,0,Equity Shares,3178000,522266,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172340_1258582_03102024065217_WEB.xml,Promoters,22955029,7.22,0,Equity Shares,26133029,8.22,30-Sep-2024,30-Sep-2024,03-Oct-2024,Off Market,-,NA,-
TRITURBINE,Triveni Turbine Limited,7(2),RATI SAWHNEY,03-Oct-2024 18:52,1172340,,0,0,0,0,Equity Shares,3178000,522267,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172340_1258582_03102024065217_WEB.xml,Promoters,36064546,11.35,0,Equity Shares,32886546,10.35,30-Sep-2024,30-Sep-2024,03-Oct-2024,Off Market,-,NA,-
SBCL,Shivalik Bimetal Controls Limited,7(2),Ultra Portfolio Management Private Limited,01-Oct-2024 21:22,1172267,,0,0,0,0,Equity Shares,2866270,522035,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172267_1257552_01102024092205_WEB.xml,Promoters,2866270,4.98,1750144462,Equity Shares,Nil,0,27-Sep-2024,27-Sep-2024,01-Oct-2024,Market Sale,-,NSE,-
SBCL,Shivalik Bimetal Controls Limited,7(2),Angad Estates Private Limited,01-Oct-2024 21:22,1172267,,0,0,0,0,Equity Shares,4965000,522034,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172267_1257552_01102024092205_WEB.xml,Promoters,4965000,8.62,3031629000,Equity Shares,Nil,0,27-Sep-2024,27-Sep-2024,01-Oct-2024,Market Sale,-,NSE,-
ASLIND,ASL Industries Limited,7(3),SKYBRIDGE INCAP ADVISORY LLP,01-Oct-2024 18:42,1172246,,0,0,0,0,Equity Shares,4773090,521986,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172246_1257186_01102024064212_WEB.xml,-,2136000,20.5,160925060,Equity Shares,6909090,66.32,27-Sep-2024,27-Sep-2024,01-Oct-2024,Off Market,-,NSE,-
RAJMET,Rajnandini Metal Limited,7(2),Het Ram,01-Oct-2024 17:41,1172212,,0,0,0,0,Equity Shares,40000000,521929,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172212_1256942_01102024054120_WEB.xml,Promoters,127380315,46.07,410000000,Equity Shares,87380315,31.6,30-Sep-2024,30-Sep-2024,01-Oct-2024,Off Market,-,NSE,-
VIPULLTD,Vipul Limited,7(2),MRS. SUNITA BERIWALA JT. MR. PUNIT BERIWALA,01-Oct-2024 16:04,1172183,,0,0,0,0,Equity Shares,12915971,521886,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172183_1256675_01102024040413_WEB.xml,Promoters,13300000,9.44,12915971,Equity Shares,384029,0.27,30-Sep-2024,30-Sep-2024,01-Oct-2024,Market Sale,-,NSE,-
RAJMET,Rajnandini Metal Limited,7(2),Het Ram,01-Oct-2024 11:09,1172118,,0,0,0,0,Equity Shares,5800000,521782,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172118_1256107_01102024110956_WEB.xml,Promoters,133180315,48.17,58381060,Equity Shares,127380315,46.07,30-Sep-2024,30-Sep-2024,01-Oct-2024,Market Sale,-,NSE,-
TATAMOTORS,Tata Motors Limited,7(2),Tata Sons Private Limited,30-Sep-2024 20:10,1172097,,0,0,0,0,Equity Shares,26149740,521731,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172097_1255770_30092024081021_WEB.xml,Promoter Group,1452113801,43.03,29061513549,Equity Shares,1478263541,40.16,25-Sep-2024,25-Sep-2024,27-Sep-2024,Scheme of Amalgamation/Merger/Demerger/Arrangement,-,NA,-
TATAMOTORS,Tata Motors Limited,7(2),Tata Sons Private Limited,30-Sep-2024 20:10,1172097,,0,0,0,0,Equity Shares,38511281,521730,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172097_1255770_30092024081021_WEB.xml,Promoters,38511281,0.11,0,Equity Shares,Nil,0,25-Sep-2024,25-Sep-2024,27-Sep-2024,Scheme of Amalgamation/Merger/Demerger/Arrangement,-,NA,-
NDL,Nandan Denim Limited,7(2),BRIJMOHAN CHIRIPAL,30-Sep-2024 18:22,1172056,,0,0,0,0,Equity Shares,19740000,521626,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172056_1255296_30092024062221_WEB.xml,Promoters,68215000,4.73,135302308,Equity Shares,48475000,3.36,26-Sep-2024,27-Sep-2024,28-Sep-2024,Market Sale,-,NSE,-
NDL,Nandan Denim Limited,7(2),VEDPRAKASH CHIRIPAL,30-Sep-2024 18:22,1172056,,0,0,0,0,Equity Shares,3156048,521624,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172056_1255296_30092024062221_WEB.xml,Promoter Group,8488668,0.59,20924598,Equity Shares,5332620,0.37,27-Sep-2024,27-Sep-2024,30-Sep-2024,Market Sale,-,NSE,-
SWSOLAR,Sterling and Wilson Renewable Energy Limited,7(2),Shapoorji Pallonji And Company Private Limited,30-Sep-2024 17:35,1172041,,0,0,0,0,Equity Shares,13500000,521592,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172041_1255069_30092024053512_WEB.xml,Promoters,29701291,12.73,8414325900,Equity Shares,16201291,6.94,27-Sep-2024,27-Sep-2024,30-Sep-2024,Market Sale,-,NSE,-
SWSOLAR,Sterling and Wilson Renewable Energy Limited,7(2),Khurshed Yazdi Daruvala,30-Sep-2024 17:35,1172041,,0,0,0,0,Equity Shares,3150000,521591,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172041_1255069_30092024053512_WEB.xml,Promoters,3443662,1.48,1984545045,Equity Shares,293662,0.13,27-Sep-2024,27-Sep-2024,28-Sep-2024,Market Sale,-,NSE,-
PARACABLES,Paramount Communications Limited,7(2),Hertz Electricals (International) Private Limited,28-Sep-2024 17:31,1171965,,0,0,0,0,Equity Shares,12784712,521468,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171965_1253607_28092024053134_WEB.xml,Promoter Group,33708590,11.05,0,Equity Shares,46493302,15.25,28-Sep-2024,28-Sep-2024,28-Sep-2024,Scheme of Amalgamation/Merger/Demerger/Arrangement,-,NA,-
ASKAUTOLTD,ASK Automotive Limited,7(2),Kuldip Singh Rathee,28-Sep-2024 16:30,1171960,,0,0,0,0,Equity Shares,10734414,521461,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171960_1253475_28092024043056_WEB.xml,Promoters,79316439,40.23,4845969652,Equity Shares,68582025,34.79,26-Sep-2024,26-Sep-2024,28-Sep-2024,Others,-,"BSE,NSE",-
KALYANKJIL,Kalyan Jewellers India Limited,7(2),TS Kalyanaraman,27-Sep-2024 21:24,1171935,,0,0,0,0,Equity Shares,13397974,521406,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171935_1252995_27092024092406_WEB.xml,Promoters,216453564,21,9592949384,Equity Shares,229851538,22.3,26-Sep-2024,26-Sep-2024,27-Sep-2024,Gift,-,MSEI,-
KRITIKA,Kritika Wires Limited,7(2),GUNNAYAK COMMERCIAL PRIVATE LIMITED,27-Sep-2024 18:23,1171891,,0,0,0,0,Equity Shares,7500000,521341,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171891_1252431_27092024062308_WEB.xml,Promoter Group,51050000,19.17,166275000,Equity Shares,43550000,16.35,24-Sep-2024,24-Sep-2024,26-Sep-2024,Market Sale,-,NSE,-
KALYANKJIL,Kalyan Jewellers India Limited,7(2),TS Kalyanaraman,27-Sep-2024 18:05,1171889,,0,0,0,0,Equity Shares,13397974,521335,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171889_1252357_27092024060543_WEB.xml,Promoters,216453564,21,9592949384,Equity Shares,229851538,22.3,26-Sep-2024,26-Sep-2024,27-Sep-2024,Gift,-,NA,-
KALYANKJIL,Kalyan Jewellers India Limited,7(2),TK Radhika,27-Sep-2024 18:05,1171889,,0,0,0,0,Equity Shares,13397974,521334,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171889_1252357_27092024060543_WEB.xml,Promoter Group,20772038,2.02,9592949384,Equity Shares,7374064,0.72,26-Sep-2024,26-Sep-2024,27-Sep-2024,Gift,-,NA,-
KALYANKJIL,Kalyan Jewellers India Limited,7(2),KJG Consultig Private Limited,27-Sep-2024 18:05,1171889,,0,0,0,0,Equity Shares,24299066,521333,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171889_1252357_27092024060543_WEB.xml,Promoter Group,Nil,0,13000000000,Equity Shares,24299066,2.36,26-Sep-2024,26-Sep-2024,27-Sep-2024,Off Market,-,NA,-
BCLIND,Bcl Industries Limited,7(2),Rajinder Mittal,27-Sep-2024 17:49,1171883,,0,0,0,0,Equity Shares,2500002,521323,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171883_1252287_27092024054907_WEB.xml,Promoters,46680400,15.82,147176338,Equity Shares,44180398,14.97,20-Sep-2024,26-Sep-2024,27-Sep-2024,Market Sale,-,NSE,-
HLVLTD,HLV LIMITED,7(2),Rockfort Estate Developers Private Limited,27-Sep-2024 16:18,1171856,,0,0,0,0,Equity Shares,8600000,521270,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171856_1251888_27092024041810_WEB.xml,Promoter Group,44615308,6.77,153080000,Equity Shares,36015308,5.46,25-Sep-2024,25-Sep-2024,26-Sep-2024,Off Market,-,NA,-
MOS,Mos Utility Limited,7(2),Kurjibhai Premjibhai Rupareliya,27-Sep-2024 15:20,1171851,,0,0,0,0,Equity Shares,2892800,521262,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171851_1251739_27092024032026_WEB.xml,Promoters,10638630,42.66,1070364928,Equity Shares,7745830,31.06,26-Sep-2024,26-Sep-2024,27-Sep-2024,Market Sale,-,NSE,-
NDL,Nandan Denim Limited,7(2),CHIRIPAL EXIM LLP,27-Sep-2024 12:18,1171833,,0,0,0,0,Equity Shares,11883868,521242,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171833_1251412_27092024121811_WEB.xml,Promoter Group,146489264,10.16,84700148,Equity Shares,134605396,9.34,25-Sep-2024,26-Sep-2024,26-Sep-2024,Market Sale,-,NSE,-
NDL,Nandan Denim Limited,7(2),VEDPRAKASH CHIRIPAL,27-Sep-2024 12:18,1171833,,0,0,0,0,Equity Shares,5000000,521241,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171833_1251412_27092024121811_WEB.xml,Promoter Group,13488668,0.94,35200967,Equity Shares,8488668,0.59,25-Sep-2024,25-Sep-2024,26-Sep-2024,Market Sale,-,NSE,-
VIPULLTD,Vipul Limited,7(2),PUNIT BERIWALA,26-Sep-2024 17:43,1171780,,0,0,0,0,Equity Shares,4401831,520902,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171780_1250679_26092024054306_WEB.xml,Promoters,4401831,3.12,4401831,Equity Shares,Nil,0,24-Sep-2024,24-Sep-2024,25-Sep-2024,Market Sale,-,NSE,-
NDL,Nandan Denim Limited,7(2),CHIRIPAL EXIM LLP,25-Sep-2024 18:43,1171692,,0,0,0,0,Equity Shares,2524236,520736,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171692_1249470_25092024064356_WEB.xml,Promoter Group,149013500,10.34,17437823,Equity Shares,146489264,10.16,23-Sep-2024,24-Sep-2024,25-Sep-2024,Market Sale,-,NSE,-
NDL,Nandan Denim Limited,7(2),VEDPRAKASH CHIRIPAL,25-Sep-2024 18:43,1171692,,0,0,0,0,Equity Shares,6843952,520735,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171692_1249470_25092024064356_WEB.xml,Promoter Group,20332620,1.41,46488874,Equity Shares,13488668,0.94,23-Sep-2024,23-Sep-2024,24-Sep-2024,Market Sale,-,NSE,-
MANINFRA,Man Infraconstruction Limited,7(2),Manan P. Shah,25-Sep-2024 17:23,1171662,,0,0,0,0,Equity Shares,13900000,520645,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171662_1249252_25092024052300_WEB.xml,Promoter Group,21377245,5.74,0,Equity Shares,35277245,9.48,24-Sep-2024,24-Sep-2024,25-Sep-2024,Gift,-,NA,-
MANINFRA,Man Infraconstruction Limited,7(2),Parag K. Shah,25-Sep-2024 17:23,1171662,,0,0,0,0,Equity Shares,13900000,520644,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171662_1249252_25092024052300_WEB.xml,Promoters,131235006,35.26,0,Equity Shares,117335006,31.53,24-Sep-2024,24-Sep-2024,25-Sep-2024,Gift,-,NA,-
MANINFRA,Man Infraconstruction Limited,7(2),Parag K. Shah HUF,25-Sep-2024 17:23,1171662,,0,0,0,0,Equity Shares,12333176,520642,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171662_1249252_25092024052300_WEB.xml,Promoter Group,12333176,3.32,0,Equity Shares,Nil,0,25-Sep-2024,25-Sep-2024,25-Sep-2024,Inter-se-Transfer,-,NA,-
MANINFRA,Man Infraconstruction Limited,7(2),Vatsal P. Shah,25-Sep-2024 17:23,1171662,,0,0,0,0,Equity Shares,12333176,520643,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171662_1249252_25092024052300_WEB.xml,Promoter Group,23200333,6.23,0,Equity Shares,35533509,9.55,25-Sep-2024,25-Sep-2024,25-Sep-2024,Inter-se-Transfer,-,NA,-
SMCGLOBAL,Smc Global Securities Limited,7(2),Mrs. Ginni Devi,25-Sep-2024 16:31,1171647,,0,0,0,0,Equity Shares,3184000,520601,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171647_1249116_25092024043143_WEB.xml,Promoter Group,3184000,3.04,519660640,Equity Shares,Nil,0,01-Jul-2024,24-Sep-2024,25-Sep-2024,Gift,-,NA,-
ROSSELLIND,Rossell India Limited,7(2),HARSH MOHAN GUPTA & SON HUF,25-Sep-2024 16:08,1171641,,0,0,0,0,Equity Shares,2875180,520588,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171641_1249057_25092024040850_WEB.xml,Promoters,Nil,0,5750360,Equity Shares,2875180,7.63,21-Sep-2024,21-Sep-2024,24-Sep-2024,Scheme of Amalgamation/Merger/Demerger/Arrangement,-,NA,-
ROSSELLIND,Rossell India Limited,7(2),VINITA GUPTA,25-Sep-2024 16:08,1171641,,0,0,0,0,Equity Shares,2946965,520586,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171641_1249057_25092024040850_WEB.xml,Promoters,693670,1.84,5893930,Equity Shares,3640635,9.66,21-Sep-2024,21-Sep-2024,24-Sep-2024,Scheme of Amalgamation/Merger/Demerger/Arrangement,-,NA,-
ROSSELLIND,Rossell India Limited,7(2),RISHAB MOHAN GUPTA,25-Sep-2024 16:08,1171641,,0,0,0,0,Equity Shares,5893395,520585,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171641_1249057_25092024040850_WEB.xml,Promoters,769203,2.04,11786790,Equity Shares,6662598,17.67,21-Sep-2024,21-Sep-2024,24-Sep-2024,Scheme of Amalgamation/Merger/Demerger/Arrangement,-,NA,-
ROSSELLIND,Rossell India Limited,7(2),HARSH MOHAN  GUPTA,25-Sep-2024 16:08,1171641,,0,0,0,0,Equity Shares,13010362,520584,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171641_1249057_25092024040850_WEB.xml,Promoters,1877751,4.98,26020724,Equity Shares,14888113,39.49,21-Sep-2024,21-Sep-2024,24-Sep-2024,Scheme of Amalgamation/Merger/Demerger/Arrangement,-,NA,-
KRITIKA,Kritika Wires Limited,7(2),Panchshul Merchants Private Limited,25-Sep-2024 15:23,1171638,,0,0,0,0,Equity Shares,2550000,520571,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171638_1248958_25092024032321_WEB.xml,Promoter Group,25499990,9.58,51511703,Equity Shares,22949990,8.62,20-Sep-2024,20-Sep-2024,23-Sep-2024,Market Sale,-,NSE,-
PIIND,PI Industries Limited,7(2),BETA FAMILY TRUST,25-Sep-2024 14:38,1171628,,0,0,0,0,Equity Shares,6150000,520544,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171628_1248899_25092024023832_WEB.xml,Promoter Group,Nil,0,6150000,Equity Shares,6150000,4.05,23-Sep-2024,23-Sep-2024,24-Sep-2024,Gift,-,NA,-
PIIND,PI Industries Limited,7(2),DOMANE FAMILY TRUST,25-Sep-2024 14:38,1171628,,0,0,0,0,Equity Shares,6150182,520542,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171628_1248899_25092024023832_WEB.xml,Promoter Group,Nil,0,6150182,Equity Shares,6150182,4.05,23-Sep-2024,23-Sep-2024,24-Sep-2024,Gift,-,NA,-
PIIND,PI Industries Limited,7(2),Salil Singhal,25-Sep-2024 14:38,1171628,,0,0,0,0,Equity Shares,12300364,520540,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171628_1248899_25092024023832_WEB.xml,Promoters,12300364,8.11,12300364,Equity Shares,Nil,0,23-Sep-2024,23-Sep-2024,24-Sep-2024,Gift,-,NA,-
PIIND,PI Industries Limited,7(2),RCANE FAMILY TRUST,25-Sep-2024 14:38,1171628,,0,0,0,0,Equity Shares,6150182,520541,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171628_1248899_25092024023832_WEB.xml,Promoter Group,Nil,0,6150182,Equity Shares,6150182,4.05,23-Sep-2024,23-Sep-2024,24-Sep-2024,Gift,-,NA,-
PIIND,PI Industries Limited,7(2),ALPHA FAMILY TRUST,25-Sep-2024 14:38,1171628,,0,0,0,0,Equity Shares,6150000,520543,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171628_1248899_25092024023832_WEB.xml,Promoter Group,Nil,0,6150000,Equity Shares,6150000,4.05,23-Sep-2024,23-Sep-2024,24-Sep-2024,Gift,-,NA,-
PIIND,PI Industries Limited,7(2),Madhu Singhal,25-Sep-2024 14:38,1171628,,0,0,0,0,Equity Shares,12300000,520539,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171628_1248899_25092024023832_WEB.xml,Promoters,26591600,17.53,12300000,Equity Shares,14291600,9.42,23-Sep-2024,23-Sep-2024,24-Sep-2024,Gift,-,NA,-
BCLIND,Bcl Industries Limited,7(2),Sunita Mittal,25-Sep-2024 10:46,1171608,,0,0,0,0,Equity Shares,2500001,520481,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171608_1248656_25092024104620_WEB.xml,Promoters,51472970,17.44,162500065,Equity Shares,48972969,16.59,23-Sep-2024,23-Sep-2024,24-Sep-2024,Market Sale,-,NSE,-
AXITA,Axita Cotton Limited,7(2),Nitinbhai Govindbhai Patel,20-Sep-2024 19:22,1171371,,0,0,0,0,Equity Shares,21418790,519978,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171371_1246624_20092024072200_WEB.xml,Promoters,90546572,34.71,471622306,Equity Shares,69127782,26.5,18-Sep-2024,19-Sep-2024,20-Sep-2024,Market Sale,-,"BSE,NSE",-
KRITIKA,Kritika Wires Limited,7(2),Panchshul Merchants Private Limited,20-Sep-2024 15:10,1171309,,0,0,0,0,Equity Shares,4500010,519859,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171309_1246180_20092024031031_WEB.xml,Promoter Group,30000000,11.27,99000220,Equity Shares,25499990,9.58,18-Sep-2024,18-Sep-2024,19-Sep-2024,Market Sale,-,NSE,-
RBA,Restaurant Brands Asia Limited,7(2),QSR ASIA PTE. LTD,19-Sep-2024 18:39,1171271,,0,0,0,0,Equity Shares,10746200,519776,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171271_1245885_19092024063914_WEB.xml,Promoters,76369290,15.33,1128351000,Equity Shares,65623090,13.17,18-Sep-2024,18-Sep-2024,19-Sep-2024,Others,-,NSE,-
LLOYDSME,Lloyds Metals And Energy Limited,7(2),Lloyds Metals and Energy Limited,19-Sep-2024 17:54,1171253,,0,0,0,0,Warrants,7500002,519747,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171253_1245807_19092024055411_WEB.xml,Promoters,Nil,0,1942500518,Warrants,7500002,0,18-Sep-2024,18-Sep-2024,19-Sep-2024,Preferential Offer,-,NA,-
LLOYDSME,Lloyds Metals And Energy Limited,7(2),Sky United LLP,19-Sep-2024 17:54,1171253,,0,0,0,0,Warrants,7499998,519748,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171253_1245807_19092024055411_WEB.xml,Promoters,Nil,0,1942499482,Warrants,7499998,0,18-Sep-2024,18-Sep-2024,19-Sep-2024,Preferential Offer,-,NA,-
VLEGOV,VL E Governance & IT Solutions Limited,7(2),NJD Capital Private Limited,18-Sep-2024 19:19,1171173,,0,0,0,0,Equity Shares,4015786,519602,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171173_1245323_18092024071954_WEB.xml,Promoter Group,5359968,5.06,544358872,Equity Shares,1344182,1.27,16-Sep-2024,18-Sep-2024,18-Sep-2024,Market Sale,-,NSE,-
GNA,GNA Axles Limited,7(2),RANBIR SINGH,18-Sep-2024 18:00,1171154,,0,0,0,0,Equity Shares,8281482,519561,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171154_1245210_18092024060047_WEB.xml,Promoters,6413096,14.94,0,Equity Shares,14694578,34.23,12-Sep-2024,12-Sep-2024,16-Sep-2024,Off Market,-,NA,-
GNA,GNA Axles Limited,7(2),GURDEEP SINGH,18-Sep-2024 18:00,1171154,,0,0,0,0,Equity Shares,6275332,519560,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171154_1245210_18092024060047_WEB.xml,Promoters,6275332,14.62,0,Equity Shares,Nil,0,12-Sep-2024,12-Sep-2024,16-Sep-2024,Off Market,-,NA,-
GNA,GNA Axles Limited,7(2),GURSARAN SINGH,18-Sep-2024 18:00,1171154,,0,0,0,0,Equity Shares,2655650,519559,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171154_1245210_18092024060047_WEB.xml,Promoter Group,3730650,8.69,0,Equity Shares,1075000,2.5,12-Sep-2024,12-Sep-2024,16-Sep-2024,Off Market,-,NA,-
NESCO,Nesco Limited,7(2),Mr. Krishna Sumant Patel,18-Sep-2024 15:40,1171089,,0,0,0,0,Equity Shares,3546934,519455,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171089_1244991_18092024034020_WEB.xml,Promoters,2125400,3.02,0,Equity Shares,5672334,8.05,17-Sep-2024,17-Sep-2024,18-Sep-2024,Off Market,-,NA,-
NESCO,Nesco Limited,7(2),Mrs. Sudhaben Sumant Patel,18-Sep-2024 15:40,1171089,,0,0,0,0,Equity Shares,4433667,519454,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171089_1244991_18092024034020_WEB.xml,Promoters,13442055,19.07,0,Equity Shares,9008388,12.79,17-Sep-2024,17-Sep-2024,18-Sep-2024,Off Market,-,NA,-
SGL,STL Global Limited,7(2),TARGET FASHIONS LIMITED,18-Sep-2024 12:20,1171062,,0,0,0,0,Equity Shares,5177879,519408,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171062_1244885_18092024122032_WEB.xml,Promoter Group,5177879,19.18,69953145,Equity Shares,Nil,0,13-Sep-2024,13-Sep-2024,17-Sep-2024,Inter-se-Transfer,-,NA,-
SGL,STL Global Limited,7(2),SANGEETA AGGARWAL,18-Sep-2024 12:20,1171062,,0,0,0,0,Equity Shares,2726794,519407,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171062_1244885_18092024122032_WEB.xml,Promoter Group,3273206,12.13,36838987,Equity Shares,6000000,22.23,13-Sep-2024,13-Sep-2024,17-Sep-2024,Inter-se-Transfer,-,NA,-
